ID,Statement,IsTrue,Difficulty,Category
1,The strong nuclear force holds protons and neutrons together in the nucleus.,1,Medium,Modern Physics
2,The half-life is the time for half of radioactive nuclei to decay.,1,Medium,Modern Physics
3,The photoelectric effect demonstrates the particle nature of light.,1,Medium,Modern Physics
4,All gases behave ideally at all temperatures and pressures.,0,Medium,Thermodynamics
5,X-rays have higher energy than visible light.,1,Easy,Modern Physics
6,Plasma is the fourth state of matter.,1,Easy,States of Matter
7,Electric field lines point away from positive charges and toward negative charges.,1,Medium,Electromagnetism
8,"The photoelectric effect depends on the intensity of light, not frequency.",0,Hard,Modern Physics
9,All electromagnetic waves have the same frequency.,0,Easy,Electromagnetism
10,Archimedes' principle explains buoyancy.,1,Medium,Fluid Mechanics
11,Coulomb's law describes the force between electric charges.,1,Medium,Electromagnetism
12,Snell's law describes refraction of light.,1,Medium,Optics
13,"In simple harmonic motion, the restoring force is proportional to displacement.",1,Medium,Mechanics
14,Work is always positive when a force acts on an object.,0,Medium,Mechanics
15,Heat engines can be 100% efficient.,0,Medium,Thermodynamics
16,Pressure decreases with depth in liquids.,0,Easy,Fluid Mechanics
17,Mirrors can only form real images.,0,Medium,Optics
18,The period of a pendulum depends on the mass of the bob.,0,Medium,Mechanics
19,The coefficient of restitution for a perfectly elastic collision is 1.,1,Hard,Mechanics
20,All metals expand at the same rate when heated.,0,Medium,Materials Science
21,Sound travels faster in water than in air.,1,Medium,Waves
22,Planck's constant relates photon energy to frequency.,1,Medium,Modern Physics
23,"Electromagnetic radiation includes radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",1,Medium,Electromagnetism
24,White light can be separated into colors using a prism.,1,Easy,Optics
25,Nuclear decay can be stopped by chemical means.,0,Medium,Modern Physics
26,"In projectile motion, the horizontal and vertical components of velocity are equal.",0,Medium,Mechanics
27,Electric field lines can cross each other.,0,Medium,Electromagnetism
28,Standing waves have nodes and antinodes.,1,Medium,Waves
29,Sound cannot travel through solids.,0,Easy,Waves
30,Superconductors have zero electrical resistance below critical temperature.,1,Medium,Solid State
31,Nuclear fusion requires more energy than it produces.,0,Medium,Modern Physics
32,The uncertainty principle limits simultaneous knowledge of position and momentum.,1,Hard,Modern Physics
33,Magnetic field lines have a beginning and an end.,0,Medium,Electromagnetism
34,Radioactive materials become safe after exactly 10 half-lives.,0,Medium,Modern Physics
35,Phase transitions occur at constant temperature for pure substances.,1,Medium,Thermodynamics
36,Infrared radiation is visible to the human eye.,0,Easy,Optics
37,Faraday's law describes electromagnetic induction.,1,Medium,Electromagnetism
38,Newton's first law states that an object at rest stays at rest unless acted upon by a force.,1,Easy,Mechanics
39,The speed of light is the same in all materials.,0,Easy,Optics
40,Concave mirrors always form virtual images.,0,Medium,Optics
41,The Stefan-Boltzmann law describes blackbody radiation.,1,Hard,Thermodynamics
42,The speed of light in water is faster than in vacuum.,0,Medium,Electromagnetism
43,A changing magnetic field induces an electric field.,1,Medium,Electromagnetism
44,Gauss's law relates electric field to electric charge.,1,Hard,Electromagnetism
45,Electromagnetic waves require a medium to propagate.,0,Medium,Electromagnetism
46,Heat and temperature are the same thing.,0,Easy,Thermodynamics
47,Young's modulus measures the stiffness of materials.,1,Medium,Materials Science
48,Semiconductors have electrical conductivity between conductors and insulators.,1,Medium,Solid State
49,Bernoulli's principle relates pressure and fluid velocity.,1,Medium,Fluid Mechanics
50,Mirrors reflect all light that hits them.,0,Medium,Optics
51,Waves can only travel through matter.,0,Medium,Waves
52,Resistors in parallel have the same current through each resistor.,0,Medium,Electromagnetism
53,The wavelength of visible light ranges from about 380 to 700 nanometers.,1,Medium,Optics
54,PV = nRT describes the behavior of ideal gases.,1,Medium,Thermodynamics
55,The Doppler effect causes frequency changes when source and observer move relative to each other.,1,Medium,Waves
56,Electrons move faster than the speed of light in conductors.,0,Medium,Electromagnetism
57,The efficiency of a Carnot engine depends only on the temperatures of the hot and cold reservoirs.,1,Hard,Thermodynamics
58,The specific heat capacity of water is approximately 4.18 J/g°C.,1,Medium,Thermodynamics
59,Ampere's law relates magnetic field to electric current.,1,Hard,Electromagnetism
60,Angular momentum is conserved when no external torques act on a system.,1,Hard,Mechanics
61,Quantum tunneling allows particles to pass through barriers with 100% probability.,0,Hard,Modern Physics
62,All materials become superconductors at absolute zero.,0,Hard,Solid State
63,Gravitational waves travel faster than light.,0,Hard,Modern Physics
64,Pascal's principle states that pressure applied to a fluid is transmitted equally in all directions.,1,Medium,Fluid Mechanics
65,Time dilation occurs at high velocities according to special relativity.,1,Hard,Modern Physics
66,The speed of light decreases when entering a denser medium.,1,Medium,Optics
67,Alpha particles are helium nuclei.,1,Medium,Modern Physics
68,The wavelength of a wave increases when it enters a denser medium.,0,Medium,Waves
69,The gravitational force between two objects is proportional to their distance.,0,Medium,Mechanics
70,Water boils at 100°C at standard atmospheric pressure.,1,Easy,Thermodynamics
71,Polarized light vibrates in specific directions.,1,Medium,Optics
72,All particles have definite positions and velocities simultaneously.,0,Hard,Modern Physics
73,Laser light is incoherent.,0,Medium,Optics
74,The magnetic field of Earth never changes direction.,0,Medium,Electromagnetism
75,Friction always opposes motion.,0,Medium,Mechanics
76,Centrifugal force is a real force acting outward in circular motion.,0,Medium,Mechanics
77,Electric current always follows the path of least resistance exclusively.,0,Hard,Electromagnetism
78,Absolute zero is -100°C.,0,Easy,Thermodynamics
79,Thermal equilibrium means objects have the same amount of heat.,0,Medium,Thermodynamics
80,Nuclear fusion powers the sun.,1,Medium,Modern Physics
81,Absolute zero is -273.15°C or 0 Kelvin.,1,Easy,Thermodynamics
82,The magnetic force on a moving charge is perpendicular to both velocity and magnetic field.,1,Medium,Electromagnetism
83,Diffraction is the bending of waves around obstacles.,1,Medium,Optics
84,Perpetual motion machines are possible according to thermodynamics.,0,Medium,Thermodynamics
85,Photons have zero rest mass.,1,Medium,Modern Physics
86,Momentum is conserved in isolated systems.,1,Medium,Mechanics
87,Capacitors store current.,0,Easy,Electromagnetism
88,Electric current flows from negative to positive terminal.,0,Medium,Electromagnetism
89,Entropy can spontaneously decrease in isolated systems.,0,Hard,Thermodynamics
90,The speed of sound is constant in all materials.,0,Easy,Waves
91,Photons have mass because they carry energy.,0,Medium,Modern Physics
92,Total internal reflection occurs when light travels from denser to rarer medium at angles greater than critical angle.,1,Hard,Optics
93,The human eye can see all wavelengths of light.,0,Easy,Optics
94,Interference patterns result from the superposition of waves.,1,Medium,Optics
95,The speed of light in vacuum is approximately 3.00 x 10 m/s.,1,Easy,Electromagnetism
96,Water boils at 50°C at sea level.,0,Easy,Thermodynamics
